"PID","X1_RP_Experience","X1_RP_Expression","X1_RP_Connection","X2_RP_Experience","X2_RP_Expression","X2_RP_Connection","X3_RP_Experience","X3_RP_Expression","X3_RP_Connection","X4_RP_Experience","X4_RP_Expression","X4_RP_Connection","X1_CF_Experience","X1_CF_Expression","X1_CF_Connection","X2_CF_Experience","X2_CF_Expression","X2_CF_Connection","X3_CF_Experience","X3_CF_Expression","X3_CF_Connection","X4_CF_Experience","X4_CF_Expression","X4_CF_Connection","Attn_Check_Never","Attn_Check_Much","X1_CC_Experience","X1_CC_Expression","X1_CC_Connection","X2_CC_Experience","X2_CC_Expression","X2_CC_Connection","X3_CC_Experience","X3_CC_Expression","X3_CC_Connection","X4_CC_Experience","X4_CC_Expression","X4_CC_Connection","X1_St_Experience","X1_St_Expression","X1_St_Connection","X2_St_Experience","X2_St_Expression","X2_St_Connection","X3_St_Experience","X3_St_Expression","X3_St_Connection","X4_St_Experience","X4_St_Expression","X4_St_Connection","Relationship.marital.status","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status"
345,"2","3","2","3","4","3","3","4","4","3","4","5","2","3","1","3","4","3","4","4","4","4","4","4","5","2","3","4","2","4","5",NA,"5","5",NA,"4","5",NA,"3","3","2","3","4","5","4","4","4","3","4","4","Engaged","40","Female","White","United States","United States","United States","English","No","Full-Time"
119,"1","1","1","1","1","1","4","4","3","3","3","3","2","2","1","3","3","2","4","4","3","4","4","4","5","2","3","3","3","3","3","3","4","4","3","3","3","4","3","2","3","3","3","3","5","5",NA,"3","5",NA,"Married","43","Male","White","United States","United States","United States","English","No","Full-Time"
108,"2","1","2","3","3","3","4","4","3","4","4","4","2","2","2","3","4","2","5","5",NA,"5","5",NA,"5","2","3","2","2","4","4","3","5","5",NA,"4","5",NA,"3","2","2","4","5",NA,"5","5",NA,"3","4","4","Married","43","Male","White","United States","United States","United States","English","No","DATA_EXPIRED"
155,"1","1","1","2","2","1","4","5",NA,"4","4","5","3","3","2","3","3","2","3","4","3","3","3","5","5","2","1","1","1","3","3","1","4","4","5","5","5",NA,"2","2","1","4","4","1","3","3","2","4","4","3","Married","38","Male","White","United States","United States","United States","English","No","Part-Time"
300,"2","2","1","3","3","2","4","4","2","4","4","3","3","3","2","3","4","2","4","4","3","4","4","4","5","2","2","2","1","3","4","2","4","4","2","3","4","4","3","5",NA,"3","5",NA,"5","5",NA,"3","4","5","Married","42","Female","White","United States","United States","United States","English","No","Full-Time"
363,"2","4","2","4","5",NA,"4","4","1","2","3","4","2","4","2","3","4","2","4","5",NA,"3","3","4","5","2","4","5",NA,"2","5",NA,"5","5",NA,"3","4","5","4","4","5","4","5",NA,"5","5",NA,"2","4","5","Married","34","Male","White","United States","United States","United States","English","Yes","Part-Time"
132,"1","3","3","3","3","3","4","4","3","4","4","5","1","3","2","3","3","3","5","5",NA,"5","5",NA,"5","2","4","3","3","3","4","3","5","5",NA,"5","5",NA,"3","4","3","4","4","3","5","5",NA,"5","5",NA,"In a relationship","29","Female","Mixed","United States","United States","United States","English","No","Part-Time"
236,"2","1","1","3","2","1","4","4","5","2","2","4","1","1","1","3","3","2","4","4","3","4","3","4","5","2","2","2","2","2","2","2","4","4","4","2","2","2","2","3","2","2","2","2","3","5",NA,"5","5",NA,"Married","50","Male","Black","United States","United States","United States","English","No","Full-Time"
67,"1","2","1","2","3","2","3","3","4","3","3","5","2","3","1","3","3","2","4","4","4","4","5",NA,"5","2","2","3","2","3","4","3","5","5",NA,"4","5",NA,"4","5",NA,"4","5",NA,"5","5",NA,"4","5",NA,"Married","53","Female","White","United States","United States","United States","English","No","DATA_EXPIRED"
115,"4","3","3","2","2","3","4","5",NA,"2","3","3","1","1","1","3","5",NA,"5","5",NA,"5","5",NA,"5","2","1","1","1","3","3","2","5","5",NA,"5","5",NA,"3","5",NA,"5","5",NA,"5","5",NA,"4","5",NA,"In a relationship","51","Female","Black","United States","United States","United States","English","No","Full-Time"
376,"2","2","2","2","3","3","4","4","3","4","4","3","3","3","3","4","4","3","4","4","3","4","4","3","5","2","3","3","3","4","5",NA,"5","5",NA,"5","5",NA,"3","3","3","4","4","3","5","5",NA,"4","4","3","Married","33","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
303,"1","2","1","2","3","2","3","3","3","4","4","5","1","2","1","2","3","2","4","4","4","4","5",NA,"5","2","2","3","2","3","4","3","4","5",NA,"4","5",NA,"3","3","2","3","5",NA,"4","5",NA,"3","4","5","Married","31","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
131,"1","2","1","4","4","3","3","3","2","3","3","3","2","3","2","3","5",NA,"4","5",NA,"4","5",NA,"5","2","2","3","2","4","5",NA,"4","5",NA,"4","5",NA,"2","3","2","3","5",NA,"5","5",NA,"5","5",NA,"Married","73","Male","White","United States","United States","United States","English","No","Part-Time"
314,"4","4","4","4","3","4","3",NA,"4","2","3","5","3","2","2","4","4","3","4","4","3","4","4","5","5","2","4","3","2","3","5",NA,"4","5",NA,"4","5",NA,"3","2","2","3","5",NA,"3","4","3","4","4","5","Married","56","Female","White","United States","United States","United States","English","No","Full-Time"
158,"2","2","2","4","4","2","3","3","2","3","3","5","1","1","1","3","4","2","4","4","4","4","4","4","5","2","2","2","2","3","4","4","4","3","5","4","5",NA,"4","4","3","4","5",NA,"3","4","5","3","4","5","Married","39","Female","White","United States","United States","United States","English","No","Full-Time"
243,"1","2","1","2","3","2","5","5",NA,"4","4","3","2","2","2","2","3","2","5","5",NA,"4","4","2","5","2","2","3","2","3","3","2","4","5",NA,"4","4","3","3","3","3","3","4","3","4","5",NA,"4","4","4","Married","55","Female","White","United States","United States","United States","English","No","Part-Time"
238,"1","1","1","1","1","1","5","5",NA,"5","5",NA,"1","1","1","2","2","2","5","5",NA,"4","4","2","5","2","1","3","1","3","5",NA,"4","5",NA,"3","5",NA,"2","2","2","3","3","2","4","4","4","4","4","4","Engaged","32","Male","White","United States","United States","United States","English","No","Full-Time"
214,"1","1","1","3","3","1","5","5",NA,"5","5",NA,"1","1","1","4","5",NA,"5","5",NA,"5","5",NA,"5","2","1","5",NA,"3","3","3","5","5",NA,"5","5",NA,"1","2","3","3","5",NA,"4","4","3","3","3","3","In a relationship","21","Female","White","United States","United States","United States","English","No","Part-Time"
24,"1","1","1","3","3","2","4","4","1","4","4","4","2","2","1","3","4","3","5","5",NA,"4","4","2","5","2","2","3","3","3","5",NA,"5","5",NA,"5","5",NA,"2","3","2","4","5",NA,"5","5",NA,"5","4","4","In a relationship","32","Female","White","United States","United States","United States","English","Yes","Full-Time"
313,"1","3","1","2","3","2","4","3","1","4","3","3","1","1","1","2","1","1","4","3","2","5","5",NA,"5","2","1","2","1","3","4","2","4","3","2","4","5",NA,"3","3","1","3","4","4","3","4","3","4","4","5","In a relationship","27","Female","White","United States","United States","United States","English","No","Full-Time"
323,"1","1","1","2","2","2","4","4","2","4","4","4","2","2","2","3","3","2","4","4","2","4","5",NA,"5","2","2","2","3","3","3","3","5","5",NA,"4","4","3","4","4","5","4","4","5","4","4","4","5","4","4","Married","38","Male","White","United States","United States","United States","English","DATA_EXPIRED","Full-Time"
385,"1","1","1","3","3","1","4","4","2","4","4","2","1","1","1","4","4","2","5","5",NA,"4","4","2","5","2","2","2","2","4","4","2","5","5",NA,"5","5",NA,"1","1","3","5","5",NA,"5","5",NA,"5","5",NA,"In a relationship","46","Male","Black","United States","United States","United States","English","No","Unemployed (and job seeking)"
216,"2","3","2","4","4","3","4","4","3","4","4","3","3","3","2","4","4","3","4","4","3","4","4","3","5","2","2","3","3","4","4","3","4","4","3","4","4","3","3","3","3","4","4","4","5","5",NA,"4","4","4","In a relationship","40","Male","White","United States","United States","United States","English","No","Full-Time"
15,"1","2","1","3","3","3","3","4","2","4","4","3","2","2","2","3","3","2","4","4","2","4","4","4","5","2","3","3","3","2","3","3","5","5",NA,"4","5",NA,"3","3","3","3","4","3","4","5",NA,"3","4","4","Married","42","Male","White","United States","United States","United States","English","No","Full-Time"
369,"1","1","1","3","2","2","4","4","3","4","3","4","2","3","2","2","3","2","4","4","3","3","4","3","5","2","2","3","2","3","4","2","5","5",NA,"4","4","4","4","4","3","2","3","3","3","4","4","3","5",NA,"In a relationship","24","Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)"
61,"2","1","1","2","3","2","4","4","3","4","4","5","2","1","2","2","3","2","4","4","3","4","4","5","5","2","2","1","3","3","4","3","4","4","3","4","5",NA,"2","3","2","3","4","3","4","4","3","4","5",NA,"In a relationship","29","Female","Asian","United States","United States","United States","English","No","Full-Time"
320,"1","1","1","3","3","3","4","4","4","4","4","5","2","2","2","3","3","3","4","4","4","3","3","4","5","2","3","3","2","3","4","3","4","4","3","4","5",NA,"3","3","3","4","4","3","5","5",NA,"4","4","3","In a relationship","30","Male","White","United States","United States","United States","English","Yes","Part-Time"
273,"2","2","2","4","4","3","4","4","3","4","4","4","3","3","2","4","4","3","4","4","3","4","4","4","5","2","3","3","2","4","4","3","4","4","4","4","4","4","3","3","2","4","4","3","4","4","2","3","4","4","Married","32","Male","Asian","United States","United States","United States","English","No","Full-Time"
212,"1","1","1","2","4","2","4","4","3","4","4","3","1","1","2","3","4","2","4","4","3","4","4","3","5","2","2","2","2","3","3","2","4","5",NA,"4","4","3","3","3","2","4","4","3","4","5",NA,"4","4","4","In a relationship","39","Male","Other","United States","United States","United States","English","No","Full-Time"
156,"1","1","1","1","1","1","5","5",NA,"4","4","4","1","1","1","1","1","1","5","5",NA,"5","5",NA,"5","2","1","1","2","3","3","2","5","5",NA,"5","5",NA,"1","1","3","1","1","3","5","5",NA,"5","5",NA,"In a relationship","49","Female","Black","United States","United States","United States","English","No","Full-Time"
392,"2","2","2","3","3","3","4","4","3","4","4","3","2","2","2","3","3","3","5","5",NA,"4","4","3","5","2","2","2","2","3","3","3","5","5",NA,"4","4","3","3","3","3","3","3","3","5","5",NA,"4","4","4","Married","58","Male","White","United States","United States","United States","English","No","Other"
228,"1","1","1","3","3","2","4","4","4","3","3","3","2","2","2","2","3","3","5","5",NA,"3","3","4","5","2","1","2","2","3","3","2","5","5",NA,"4","5",NA,"3","3","2","3","3","3","5","5",NA,"4","5",NA,"Engaged","26","Male","White","United States","United States","United States","English","No","Full-Time"
331,"2","3","2","3","3","2","4","3","4","3","3","4","3","3","2","3","4","3","4","5",NA,"4","5",NA,"5","2","2","3","2","4","4","3","4","4","2","4","5",NA,"4","4","3","4","5",NA,"5","5",NA,"3","5",NA,"In a relationship","27","Female","Asian","United States","United States","United States","English","No","Full-Time"
382,"2","4","2","4","4","2","4","4","3","2","3","4","2","3","2","3","3","2","3","3","3","3","4","4","5","2","1","2","2","3","4","2","5","5",NA,"4","5",NA,"3","3","3","5","5",NA,"5","5",NA,"3","4","4","Married","38","Female","White","United States","United States","United States","English","Yes","Part-Time"
307,"1","1","1","1","1","1","5","5",NA,"4","4","4","1","1","1","1","1","1","5","5",NA,"5","5",NA,"5","2","1","1","1","3","3","2","5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"In a relationship","42","Female","White","United States","United States","United States","English","No","Full-Time"
281,"3","2","2","3","4","2","4","4","4","3","3","4","2","3","2","2","3","2","4","4","2","4","4","4","5","2","2","3","2","1","3","4","4","4","3","3","3","4","1","2","2","3","3","2","4","4","3","4","4","4","In a relationship","31","Female","Mixed","United States","United States","United States","English","No","Unemployed (and job seeking)"
69,"1","1","1","3","3","2","5","5",NA,"4","4","5","2","2","1","3","3","2","3","4","3","4","4","4","5","2","3","4","3","4","4","3","5","5",NA,"5","5",NA,"3","4","2","5","5",NA,"4","5",NA,"4","4","5","Married","33","Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
22,"2","2","1","3","3","2","4","4","3","3","3","4","2","2","1","2","2","1","4","4","3","4","4","5","5","2","2","3","2","3","4","2","4","5",NA,"3","4","4","3","3","3","3","4","3","4","5",NA,"3","4","4","In a relationship","23","Female","Asian","United States","United States","United States","English","No","DATA_EXPIRED"
227,"1","3","1","3","4","1","4","3","2","4","4","4","2","4","2","3","5",NA,"3","3","2","3","4","4","5","2","2","3","2","3","5",NA,"3","4","2","3","4","5","3","4","4","5","5",NA,"5","5",NA,"3","5",NA,"Married","66","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
78,"1","1","1","5","5",NA,"5","5",NA,"5","5",NA,"2","2","2","4","5",NA,"4","4","4","5","5",NA,"5","2","2","3","3","4","4","3","5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"In a relationship","22","Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
16,"1","1","1","3","3","1","5","5",NA,"5","5",NA,"2","2","2","3","3","2","5","5",NA,"5","5",NA,"5","2","2","2","2","3","3","2","5","5",NA,"5","5",NA,"4","4","3","3","5",NA,"5","5",NA,"4","4","3","Married","58","Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
7,"1","1","1","5","5",NA,"5","5",NA,"3","3","3","1","1","3","5","5",NA,"5","5",NA,"4","4","3","5","2","5","5",NA,"5","5",NA,"5","5",NA,"3","3","5","5","5",NA,"5","5",NA,"5","5",NA,"3","3","5","Married","67","Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
51,"1","2","2","3","2","1","4","3","3","3","3","4","2","1","1","2","1","2","4","5",NA,"4","4","4","5","2","3","4","3","4","4","3","5","5",NA,"4","4","3","5","4","3","3","4","2","5","5",NA,"3","3","5","In a relationship","44","Female","White","United States","United States","United States","English","No","Full-Time"
367,"1","4","1","4","5",NA,"3","5",NA,"4","4","3","4","4","2","5","5",NA,"5","4","2","4","4","2","5","2","1","3","2","5","5",NA,"4","4","2","4","4","2","3","3","2","4","5",NA,"5","4","2","4","4","5","Married","74","Male","White","United States","United States","United States","English","DATA_EXPIRED","Other"
342,"1","2","1","3","4","2","3","3","1","5","5",NA,"1","1","1","5","5",NA,"3","3","2","5","5",NA,"5","2","4","4","2","4","5",NA,"5","5",NA,"4","5",NA,"4","4","2","5","5",NA,"5","5",NA,"1","5",NA,"Married","29","Female","Asian","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
180,"1","2","1","2","2","2","3","4","4","3","3","5","1","2","1","3","3","2","4","4","4","4","4","5","5","2","2","1","2","2","3","2","4","4","4","4","5",NA,"2","2","3","3","4","3","4","5",NA,"4","4","4","Married","42","Female","White","United States","United States","United States","English","No","Full-Time"
167,"1","2","1","2","3","2","5","5",NA,"3","4","2","2","2","2","2","3","2","5","5",NA,"4","5",NA,"5","2","2","3","2","3","3","2","5","5",NA,"5","5",NA,"2","2","2","2","3","2","5","5",NA,"4","5",NA,"Married","50","Female","Mixed","United States","United States","United States","English","No","Part-Time"
107,"1","1","1","3","3","2","3","3","2","3","3","4","1","1","2","4","4","4","4","4","3","5","5",NA,"5","2","1","1","2","4","4","3","5","5",NA,"5","5",NA,"1","3","3","5","5",NA,"4","4","3","4","4","4","Engaged","25","Female","White","United States","United States","United States","English","No","Full-Time"
248,"2","2","1","4","3","2","4","4","4","3","3","3","3","2","3","3","3","4","5","5",NA,"4","4","5","5","2","3","3","2","2","2","3","5","5",NA,"3","4","5","5","4","5","5","5",NA,"5","5",NA,"3","4","5","In a relationship","40","Male","White","United States","United States","United States","English","No","Full-Time"
31,"1","2","1","5","5",NA,"4","4","2","4","4","3","3","3","2","5","5",NA,"4","5",NA,"4","4","3","5","2","3","3","3","5","5",NA,"5","5",NA,"5","5",NA,"3","4","3","5","5",NA,"5","5",NA,"4","4","3","Married","81","Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
190,"1","2","1","2","3","1","4","4","3","3","3","4","1","2","1","2","3","1","4","4","3","4","4","4","5","2","2","2","2","3","4","2","4","4","3","4","5",NA,"2","3","2","3","4","2","3","4","3","4","4","4","Married","29","Female","White","United States","United States","United States","English","Yes","Full-Time"
13,"3","2","2","5","5",NA,"5","5",NA,"3","3","4","1","1","1","5","5",NA,"5","5",NA,"5","5",NA,"5","2","2","2","2","4","4","1","5","5",NA,"5","5",NA,"2","2","4","5","5",NA,"5","5",NA,"5","5",NA,"Married","60","Female","Black","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
172,"2","2","2","3","3","3","4","4","3","3","3","4","2","2","2","2","2","2","4","4","3","5","5",NA,"5","2","3","3","3","3","3","3","4","4","3","4","4","4","3","3","3","3","3","3","4","4","3","4","4","4","In a relationship","30","Female","Asian","United States","United States","United States","English","No","Part-Time"
30,"3","3","3","5","5",NA,"3","3","3","4","4","3","2","3","3","5","5",NA,"4","5",NA,"4","5",NA,"5","2","3","3","3","4","5",NA,"5","5",NA,"5","5",NA,"4","5",NA,"5","5",NA,"5","5",NA,"4","5",NA,"Married","24","Female","White","United States","United States","United States","English","Yes","Part-Time"
233,"2","2","2","5","5",NA,"5","5",NA,"3","5",NA,"2","3","1","4","5",NA,"5","5",NA,"4","5",NA,"5","2","1","1","2","5","5",NA,"5","5",NA,"4","5",NA,"2","2","3","5","5",NA,"5","5",NA,"5","5",NA,"Married","44","Male","Asian","United States","United States","United States","English","No","Full-Time"
124,"1","1","1","2","2","1","5","4","4","4","4","4","2","3","3","2","3","3","3","2","3","3","2","3","5","2","2","2","2","3","2","3","4","4","3","3","3","4","2","2","4","2","2","4","5","5",NA,"4","4","4","Engaged","31","Female","White","United States","United States","United States","English","No","Full-Time"
54,"2","2","2","2","3","2","4","4","3","4","4","2","2","2","2","3","3","3","5","5",NA,"4","4","3","5","2","2","2","2","3","3","2","5","5",NA,"5","5",NA,"2","2","3","3","3","3","5","5",NA,"4","4","5","Married","35","Male","White","United States","United States","United States","English","No","Full-Time"
226,"2","3","2","3","3","2","4","4","2","4","4","2","4","4","2","3","4","2","4","4","2","4","4","2","5","2","3","3","3","4","5",NA,"5","5",NA,"4","4","3","3","3","3","4","4","3","4","4","3","4","4","3","Married","32","Male","White","United States","United States","United States","English","No","Full-Time"
225,"2","1","1","2","3","2","5","5",NA,"4","4","5","1","1","1","3","3","1","5","5",NA,"5","5",NA,"5","2","1","1","1","2","3","1","5","5",NA,"5","5",NA,"3","3","2","2","4","3","5","5",NA,"4","4","5","In a relationship","64","Female","White","United States","United States","United States","English","No","Full-Time"
143,"1","1","1","3","3","2","3","3","3","4","4","4","2","2","2","3","3","3","4","4","3","4","4","4","5","2","3","3","3","4","3","3","5","5",NA,"4","4","3","3","3","4","4","4","3","5","5",NA,"4","4","5","In a relationship","31","Male","Asian","United States","United States","United States","English","No","Full-Time"
220,"3","2","1","3","2","2","4","5",NA,"5","5",NA,"1","2","1","2","3","1","4","4","2","3","4","2","5","2","2","2","1","3","3","2","5","4","2","4","4","2","2","2","2","3","3","3","3","4","4","5","4","4","Married","43","Male","White","United States","United States","United States","English","No","Full-Time"
285,"3","3","2","4","4","3","4","4","3","5","5",NA,"3","3","3","3","3","3","4","4","4","3","4","4","5","2","3","4","4","5","5",NA,"4","4","4","5","5",NA,"4","4","3","5","5",NA,"5","5",NA,"5","5",NA,"In a relationship","29","Female","White","United States","United States","United States","English","No","Part-Time"
354,"1","1","1","3","3","1","5","5",NA,"5","5",NA,"1","1","1","3","3","1","5","5",NA,"5","5",NA,"5","2","1","1","1","3","3","1","5","5",NA,"5","5",NA,"1","1","1","3","3","2","5","5",NA,"5","5",NA,"Married","33","Male","Black","United States","United States","United States","English","No","Full-Time"
136,"1","1","2","2","3","2","4","4","3","3","3","4","2","2","2","4","4","3","3","3","3","5","5",NA,"5","2","5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"3","3","3","4","3","3","4","4","4","3","3","4","Married","29","Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)"
388,"2","3","2","3","4","3","3","4","2","3","4","5","2","3","1","3","3","2","4","5",NA,"4","5",NA,"5","2","3","4","2","3","4","3","3","5",NA,"3","4","4","3","3","1","4","4","3","4","5",NA,"4","4","4","In a relationship","30","Male","White","United States","United States","United States","English","No","Full-Time"
142,"2","3","2","3","3","3","2","2","3","4","4","4","2","2","2","3","3","2","3","4","2","4","4","3","5","2","3","3","2","3","2","3","4","4","2","4","4","3","3","3","3","4","3","4","4","5",NA,"5","5",NA,"Married","45","Male","White","United States","United States","United States","English","No","Full-Time"
364,"1","2","1","3","3","3","3","4","4","4","4","2","2","2","1","3","4","2","5","5",NA,"4","4","4","5","2","3","1","2","3","4","3","3","4","4","2","5",NA,"3","2","3","3","4","3","4","3","4","1","4","5","Married","24","Male","White","United States","United States","United States","English","No","Full-Time"
257,"2","2","1","3","4","1","4","4","2","4","3","1","2","2","1","2","3","2","3","2","2","2","2","1","5","2","2","1","2","1","3","2","1","3","2","2","1","2","3","3","2","3","1","1","3","2","2","3","4","3","In a relationship","38","Female","Black","United States","United States","United States","English","Yes","Full-Time"
161,"1","2","1","2","2","2","3","3","4","3","3","4","1","1","2","2","3","3","4","4","4","4","4","5","5","2","2","2","2","2","3","3","4","5",NA,"4","4","3","3","2","3","3","4","3","4","3","2","3","4","3","In a relationship","33","Female","White","United States","United States","United States","English","No","Full-Time"
123,"2","3","2","3","4","2","4","5",NA,"4","4","3","3","3","2","4","4","2","4","4","3","3","4","3","5","2","3","4","2","3","4","2","4","4","3","4","4","4","3","3","3","4","5",NA,"4","4","3","4","4","4","Married","27","Female","White","United States","United States","United States","English","No","Part-Time"
135,"1","2","3","5","5",NA,"2","2","4","3","1","3","1","1","2","4","4","3","5","5",NA,"4","3","4","5","2","3","3","3","5","5",NA,"5","5",NA,"5","5",NA,"2","2","3","4","5",NA,"4","5",NA,"3","5",NA,"Married","35","Female","Mixed","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
252,"1","2","1","3","5",NA,"4","5",NA,"4","4","3","2","3","2","4","5",NA,"5","5",NA,"5","5",NA,"5","2","1","3","2","4","5",NA,"5","5",NA,"5","5",NA,"2","2","2","5","5",NA,"5","5",NA,"4","5",NA,"Married","57","Male","White","United States","United States","United States","English","No","Full-Time"
191,"2","3","2","3","4","2","4","4","3","4","4","4","3","3","2","4","4","3","4","4","4","3","4","4","5","2","3","3","2","4","4","3","5","5",NA,"3","3","4","4","3","3","4","4","4","5","5",NA,"4","4","5","In a relationship","39","Male","White","United States","United States","United States","English","No","DATA_EXPIRED"
25,"1","1","1","2","3","2","4","5",NA,"5","5",NA,"3","4","2","4","4","3","4","5",NA,"5","5",NA,"5","2","3","3","2","4","4","3","5","5",NA,"5","5",NA,"4","4","3","3","3","3","5","5",NA,"3","5",NA,"Married","34","Male","White","United States","United States","United States","English","No","Full-Time"
125,"2","2","2","2","3","1","2","2","2","2","2","4","2","2","2","2","2","2","4","4","2","4","4","2","5","2","2","2","2","2","2","2","4","5",NA,"3","5",NA,"2","2","3","2","3","3","3","4","4","3","5",NA,"Married","38","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
365,"1","2","2","2","3","2","4","4","3","3","4","4","1","2","2","3","4","3","4","4","2","4","4","4","5","2","2","2","2","3","4","2","5","5",NA,"4","5",NA,"4","3","3","3","4","3","4","4","3","3","4","4","Married","30","Female","White","United States","United States","United States","English","No","Full-Time"
39,"1","1","1","2","2","1","3","3","2","3","4","3","1","2","1","2","3","1","3","3","2","4","4","3","5","2","3","3","2","3","4","2","5","5",NA,"4","4","3","3","3","2","3","4","3","5","5",NA,"4","4","3","Married","41","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
29,"1","1","2","2","2","2","3","4","2","4","4","2","1","1","2","3","3","2","4","4","3","4","4","2","5","2","2","1","2","3","4","3","5","5",NA,"3","4","3","2","3","3","3","4","3","4","5",NA,"4","5",NA,"Married","38","Male","White","United States","United States","United States","English","No","Full-Time"
360,"1","2","1","3","2","2","3","3","3","4","3","5","2","1","1","3","4","3","4","4","4","4","4","5","5","2","1","1","1","3","3","2","4","4","3","5","5",NA,"2","1","1","2","3","3","4","4","3","4","5",NA,"Married","38","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
89,"1","1","1","4","4","3","3","3","4","3","4","4","3","3","2","3","4","3","5","5",NA,"4","5",NA,"5","2","3","3","2","3","4","3","5","5",NA,"3","5",NA,"3","4","2","3","4","3","5","5",NA,"5","5",NA,"Married","55","Male","White","United States","United States","United States","English","No","Full-Time"
343,"2","2","2","4","3","3","3","4","5","4","4","4","2","3","2","3","3","2","3","4","5","4","3","4","5","2","2","2","2","4","5",NA,"5","5",NA,"3","4","4","3","3","3","5","5",NA,"5","5",NA,"4","4","3","In a relationship","25","Male","White","United States","United States","United States","English","Yes","Part-Time"
140,"3","3","2","3","3","2","4","4","4","3","4","5","2","2","2","2","2","1","5","5",NA,"4","4","4","5","2","2","2","2","3","3","2","4","4","4","5","5",NA,"2","3","2","3","4","3","4","5",NA,"4","4","4","Married","55","Female","White","United States","United States","United States","English","No","Full-Time"
146,"2","3","4","5","5",NA,"1","3","4","2","4","5","1","1","3","5","5",NA,"5","5",NA,"4","4","3","5","2","1","2","2","5","5",NA,"5","5",NA,"4","4","3","4","4","3","5","5",NA,"4","5",NA,"3","4","3","Married","57","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
353,"1","1","2","3","3","2","4","4","2","3","3","2","3","3","3","4","4","3","4","4","3","3","3","3","5","2","4","4","4","4","4","3","5","5",NA,"4","4","4","4","4","5","4","5",NA,"5","5",NA,"4","4","5","Married","44","Male","White","United States","United States","United States","English","No","Full-Time"
34,"1","1","1","2","2","1","3","3","2","3","3","2","3","3","2","3","3","3","3","3","2","3","4","2","5","2","3","3","2","3","3","3","4","4","4","3","4","4","3","3","4","3","3","4","4","4","3","3","3","4","Married","53","Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
4,"1","2","2","2","3","2","3","3","4","4","4","4","2","2","2","2","3","2","5","5",NA,"4","4","3","5","2","2","3","2","3","3","3","4","4","4","4","4","3","3","3","3","3","3","3","4","4","2","3","4","3","Married","39","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
103,"2","1","1","3","4","3","3","5",NA,"2","3","5","1","1","2","3","4","4","4","5",NA,"3","4","4","5","2","3","3","3","2","2","2","5","5",NA,"5","5",NA,"4","5",NA,"2","1","2","5","5",NA,"5","5",NA,"In a relationship","27","Female","Asian","India","United States","United States","English","No","Unemployed (and job seeking)"
134,"4","4","3","4","4","3","5","5",NA,"3","3","4","2","2","1","2","2","1","5","5",NA,"4","4","4","5","2","3","3","2","3","3","2","5","5",NA,"4","5",NA,"5","3","5","5","5",NA,"5","5",NA,"4","4","5","Married","43","Female","White","United States","United States","United States","English","No","Full-Time"
149,"1","1","1","3","4","2","5","5",NA,"4","4","5","1","1","2","3","4","3","5","5",NA,"4","5",NA,"5","2","1","2","2","3","5",NA,"5","5",NA,"5","5",NA,"2","4","5","3","5",NA,"5","5",NA,"4","4","5","Married","37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
8,"1","1","1","1","1","1","4","4","1","4","4","1","2","1","1","2","2","2","4","4","2","4","4","2","5","2","2","2","3","2","2","2","3","3","2","3","3","3","3","3","3","5","5",NA,"5","5",NA,"4","4","5","Married","31","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
